geometry,elevation,vapor pressure,precipitation,sand,clay,silt,SR,temp,water storage
"POLYGON ((-96.1726253323328 40.000557434653004, -96.1543987066932 40.0004951152479, -96.154365 40.000495, -96.154246 40.00045, -96.147167 40.000479, -96.14583333333101 40.00047604746427, -96.14583333333101 39.9791666666679, -96.18749999999768 39.9791666666679, -96.18749999999768 40.00060829324074, -96.1726253323328 40.000557434653004))",357,12.99999923,828.9999552,22.64980877,32.18577402,45.16441552,20.99999875,10.99999934,15.63729026
"POLYGON ((-95.4360108722524 40.0000687217343, -95.4359911564387 40.0000686994328, -95.4264001132841 40.0000578505256, -95.42611797772659 40.000057531388, -95.42131809377 40.0000521019999, -95.42130700133501 40.000052089452694, -95.4147859076062 40.0000447131184, -95.41471412371169 40.0000446319201, -95.39583333333096 40.000023274916636, -95.39583333333096 39.9791666666679, -95.43749999999763 39.9791666666679, -95.43749999999763 40.00007040616097, -95.4360108722524 40.0000687217343))",267,12.99999923,871.9999529,14.11823214,27.76151391,58.12025598,20.99999875,11.99999928,20.80499216
"POLYGON ((-102.0208333333315 40.00309264873724, -102.0208333333315 39.9791666666679, -102.05171669914895 39.9791666666679, -102.051744 40.003077999999995, -102.0208333333315 40.00309264873724))",1043,17,468,34.3761909,18.75478324,46.59552977,21,11,16.5544879
"POLYGON ((-101.97916666666481 40.003112394802834, -101.97916666666481 39.9791666666679, -102.0208333333315 39.9791666666679, -102.0208333333315 40.00309264873724, -101.97916666666481 40.003112394802834))",1024,17,466.000002,45.59290604,17.32004094,36.87136483,21,11,15.4405526
"POLYGON ((-101.93749999999815 40.00313214086843, -101.93749999999815 39.9791666666679, -101.97916666666481 39.9791666666679, -101.97916666666481 40.003112394802834, -101.93749999999815 40.00313214086843))",1028,17,466,33.68152483,21.17654422,45.14192428,21,11,17.48344629
"POLYGON ((-101.916696 40.003142, -101.904176 40.003161999999996, -101.861740696376 40.0029079969791, -101.85416666666481 40.00286266146217, -101.85416666666481 39.9791666666679, -101.93749999999815 39.9791666666679, -101.93749999999815 40.00313214086843, -101.916696 40.003142))",1026,17,467.9967611,21.17433095,26.35003031,52.47563735,21,11,18.38340289
"POLYGON ((-101.841025 40.002784, -101.832161 40.002933, -101.81280613107602 40.0028262374232, -101.81249999999814 40.002824548786464, -101.81249999999814 39.9791666666679, -101.85416666666481 39.9791666666679, -101.85416666666481 40.00286266146217, -101.841025 40.002784))",1023,17,474.0000021,18.66410238,27.20512821,54.13076953,21,11,18.59000015
"POLYGON ((-101.807687 40.002798, -101.804862 40.002752, -101.783414597766 40.0027360764881, -101.77083333333147 40.002726735593995, -101.77083333333147 39.9791666666679, -101.81249999999814 39.9791666666679, -101.81249999999814 40.002824548786464, -101.807687 40.002798))",1008,17,479.0000021,18.66410238,27.20512821,54.13076953,21,11,18.59000015
"POLYGON ((-101.748481056436 40.0027101402627, -101.7291666666648 40.002695800394825, -101.7291666666648 39.9791666666679, -101.77083333333147 39.9791666666679, -101.77083333333147 40.002726735593995, -101.748481056436 40.0027101402627))",1003,17,484.0000021,18.66410238,27.20512821,54.13076953,21,11,18.59000015
"POLYGON ((-101.68749999999812 40.00266486519564, -101.68749999999812 39.9791666666679, -101.7291666666648 39.9791666666679, -101.7291666666648 40.002695800394825, -101.68749999999812 40.00266486519564))",999,17,488.0000021,18.39132864,27.00751926,54.60115409,21,11,18.65363245
"POLYGON ((-101.64583333333145 40.00263392999645, -101.64583333333145 39.9791666666679, -101.68749999999812 39.9791666666679, -101.68749999999812 40.00266486519564, -101.64583333333145 40.00263392999645))",1001,18.00000008,491.0000022,19.07914996,23.28493534,57.63592222,21,11,19.09148435
"POLYGON ((-101.627071 40.00262, -101.625809 40.002711, -101.60416666666478 40.00268457405193, -101.60416666666478 39.9791666666679, -101.64583333333145 39.9791666666679, -101.64583333333145 40.00263392999645, -101.627071 40.00262))",978,18,493.0000022,33.30697028,19.93723328,46.75579499,21,11,17.7080308
"POLYGON ((-101.597806045257 40.0026768075395, -101.579637359188 40.0026546230205, -101.56249999999812 40.00263369778301, -101.56249999999812 39.9791666666679, -101.60416666666478 39.9791666666679, -101.60416666666478 40.00268457405193, -101.597806045257 40.0026768075395))",947,18,494.0000022,49.34395025,16.4063719,34.02993736,21,11,15.54280912
"POLYGON ((-101.542273 40.002609, -101.53131110386501 40.002592784696006, -101.52083333333145 40.00257728553118, -101.52083333333145 39.9791666666679, -101.56249999999812 39.9791666666679, -101.56249999999812 40.00263369778301, -101.542273 40.002609))",925,18,495.0000022,50.32994391,15.14356068,34.03594168,21,11,14.34665486
"POLYGON ((-101.47916666666478 40.00251565042167, -101.47916666666478 39.9791666666679, -101.52083333333145 39.9791666666679, -101.52083333333145 40.00257728553118, -101.47916666666478 40.00251565042167))",952,18,497.0000022,41.6203687,18.92553134,39.45409385,21,11,16.26574039
"POLYGON ((-101.43749999999811 40.00245401531217, -101.43749999999811 39.9791666666679, -101.47916666666478 39.9791666666679, -101.47916666666478 40.00251565042167, -101.43749999999811 40.00245401531217))",962,18,501.0000022,18.65984982,26.13159886,55.20855138,21,11,18.68871455
